Timestamp;s;sd1;phi;velocity;distance
25000;1.483375E-001;-8.280802E-003;-1.535308E-001;0.000000E+000;-4.064778E-002
39000;1.483037E-001;-7.347891E-003;-1.536411E-001;0.000000E+000;-4.064778E-002
53000;1.482868E-001;-6.610254E-003;-1.537278E-001;0.000000E+000;-4.064778E-002
67000;1.483037E-001;-5.518054E-003;-1.537990E-001;0.000000E+000;-4.064778E-002
81000;1.482868E-001;-4.998292E-003;-1.538378E-001;0.000000E+000;-4.064778E-002
95000;1.483037E-001;-4.314496E-003;-1.538587E-001;0.000000E+000;-4.064778E-002
109000;1.483037E-001;-3.598655E-003;-1.538783E-001;0.000000E+000;-4.064778E-002
123000;1.483206E-001;-2.994015E-003;-1.538988E-001;0.000000E+000;-4.064778E-002
138000;1.483206E-001;-2.383784E-003;-1.539187E-001;0.000000E+000;-4.064778E-002
152000;1.483544E-001;-1.915069E-003;-1.539890E-001;0.000000E+000;-4.064778E-002
167000;1.483712E-001;-1.495998E-003;-1.543400E-001;0.000000E+000;-4.064778E-002
181000;1.484050E-001;-6.632287E-004;-1.544255E-001;0.000000E+000;-4.064778E-002
196000;1.484556E-001;-4.036243E-004;-1.543368E-001;0.000000E+000;-4.064778E-002
209000;1.484725E-001;-1.969193E-004;-1.542917E-001;0.000000E+000;-4.064778E-002
224000;1.485062E-001;1.565825E-004;-1.543268E-001;0.000000E+000;-4.064778E-002
239000;1.485231E-001;4.618276E-004;-1.543620E-001;0.000000E+000;-4.064778E-002
253000;1.485737E-001;7.042060E-004;-1.544488E-001;0.000000E+000;-4.064778E-002
267000;1.486243E-001;1.077516E-003;-1.545538E-001;0.000000E+000;-4.064778E-002
281000;1.486581E-001;1.405183E-003;-1.546790E-001;0.000000E+000;-4.064778E-002
295000;1.487256E-001;1.689527E-003;-1.548245E-001;0.000000E+000;-4.064778E-002
309000;1.488099E-001;2.423544E-003;-1.550387E-001;0.000000E+000;-4.064778E-002
322000;1.489112E-001;3.260179E-003;-1.552874E-001;0.000000E+000;-4.064778E-002
336000;1.490799E-001;4.271295E-003;-1.555301E-001;0.000000E+000;-4.064778E-002
350000;1.492993E-001;5.607419E-003;-1.557099E-001;0.000000E+000;-4.064778E-002
364000;1.495355E-001;7.083128E-003;-1.556344E-001;0.000000E+000;-4.064778E-002
378000;1.497380E-001;8.384183E-003;-1.552812E-001;0.000000E+000;-4.064778E-002
393000;1.499573E-001;9.117044E-003;-1.548922E-001;0.000000E+000;-4.064778E-002
408000;1.501430E-001;9.833210E-003;-1.546090E-001;0.000000E+000;-4.064778E-002
422000;1.503792E-001;1.034434E-002;-1.544239E-001;0.000000E+000;-4.064778E-002
435000;1.505479E-001;1.082300E-002;-1.543165E-001;0.000000E+000;-4.064778E-002
448000;1.507504E-001;1.140848E-002;-1.542514E-001;0.000000E+000;-4.064778E-002
462000;1.509529E-001;1.176436E-002;-1.541949E-001;0.000000E+000;-4.064778E-002
476000;1.511385E-001;1.189658E-002;-1.541616E-001;0.000000E+000;-4.064778E-002
490000;1.513073E-001;1.173894E-002;-1.541057E-001;0.000000E+000;-4.064778E-002
504000;1.514254E-001;1.156507E-002;-1.540584E-001;0.000000E+000;-4.064778E-002
519000;1.515772E-001;1.120131E-002;-1.540367E-001;0.000000E+000;-4.064778E-002
534000;1.516954E-001;1.105267E-002;-1.539946E-001;0.000000E+000;-4.064778E-002
547000;1.517797E-001;1.017266E-002;-1.539618E-001;0.000000E+000;-4.064778E-002
560000;1.518472E-001;9.389089E-003;-1.539131E-001;0.000000E+000;-4.064778E-002
574000;1.518810E-001;8.614745E-003;-1.538387E-001;0.000000E+000;-4.064778E-002
588000;1.518810E-001;7.482418E-003;-1.538159E-001;0.000000E+000;-4.064778E-002
603000;1.518810E-001;6.487411E-003;-1.537940E-001;0.000000E+000;-4.064778E-002
617000;1.518978E-001;5.568219E-003;-1.537861E-001;0.000000E+000;-4.064778E-002
632000;1.518810E-001;4.832613E-003;-1.538292E-001;0.000000E+000;-4.064778E-002
646000;1.518810E-001;4.157919E-003;-1.538436E-001;0.000000E+000;-4.064778E-002
660000;1.518641E-001;3.457821E-003;-1.538310E-001;0.000000E+000;-4.064778E-002
675000;1.518303E-001;2.662453E-003;-1.538460E-001;0.000000E+000;-4.064778E-002
690000;1.518135E-001;1.970008E-003;-1.538827E-001;0.000000E+000;-4.064778E-002
705000;1.517460E-001;1.217302E-003;-1.539302E-001;0.000000E+000;-4.064778E-002
719000;1.516954E-001;5.902101E-004;-1.539405E-001;0.000000E+000;-4.064778E-002
733000;1.516616E-001;1.932357E-004;-1.539520E-001;0.000000E+000;-4.064778E-002
747000;1.516110E-001;-2.947747E-004;-1.539165E-001;0.000000E+000;-4.064778E-002
761000;1.515435E-001;-8.870706E-004;-1.538596E-001;0.000000E+000;-4.064778E-002
775000;1.514760E-001;-1.406441E-003;-1.537714E-001;0.000000E+000;-4.064778E-002
788000;1.513916E-001;-2.033960E-003;-1.536774E-001;0.000000E+000;-4.064778E-002
802000;1.512904E-001;-2.719009E-003;-1.534782E-001;0.000000E+000;-4.064778E-002
816000;1.511385E-001;-3.788197E-003;-1.532219E-001;0.000000E+000;-4.064778E-002
830000;1.509529E-001;-5.195875E-003;-1.529581E-001;0.000000E+000;-4.064778E-002
843000;1.507167E-001;-6.613344E-003;-1.528171E-001;0.000000E+000;-4.064778E-002
857000;1.504804E-001;-8.276799E-003;-1.529122E-001;1.920000E-002;-4.053258E-002
871000;1.500755E-001;-1.076526E-002;-1.530955E-001;0.000000E+000;-4.039818E-002
