Timestamp;phi;thetab;spin_rad
29000;-1.424142E-002;2.870589E-003;-9.230384E-003
45000;-1.425969E-002;2.838910E-003;-9.230384E-003
61000;-1.429180E-002;2.812564E-003;-9.230384E-003
77000;-1.429724E-002;2.790779E-003;-9.230384E-003
93000;-1.434027E-002;2.758026E-003;-9.230384E-003
108000;-1.437287E-002;2.703339E-003;-9.230384E-003
124000;-1.439915E-002;2.677888E-003;-9.230384E-003
139000;-1.445073E-002;2.672046E-003;-9.230384E-003
155000;-1.449659E-002;2.678752E-003;-9.230384E-003
171000;-1.454428E-002;2.647460E-003;-9.230384E-003
186000;-1.458255E-002;2.609611E-003;-9.230384E-003
202000;-1.462239E-002;2.587676E-003;-9.230384E-003
217000;-1.466609E-002;2.567530E-003;-9.230384E-003
232000;-1.469969E-002;2.537459E-003;-9.230384E-003
247000;-1.474197E-002;2.531618E-003;-9.230384E-003
263000;-1.479309E-002;2.533555E-003;-9.230384E-003
279000;-1.481361E-002;2.505660E-003;-9.230384E-003
294000;-1.485322E-002;2.473205E-003;-9.230384E-003
310000;-1.487928E-002;2.453685E-003;-9.230384E-003
326000;-1.492400E-002;2.400190E-003;-9.230384E-003
342000;-1.496395E-002;2.318740E-003;-9.230384E-003
357000;-1.501742E-002;2.271712E-003;-9.230384E-003
373000;-1.506368E-002;2.216280E-003;-9.230384E-003
388000;-1.511512E-002;2.165914E-003;-9.230384E-003
404000;-1.517094E-002;2.128929E-003;-9.230384E-003
418000;-1.520585E-002;2.114683E-003;-9.230384E-003
433000;-1.524443E-002;2.100199E-003;-9.230384E-003
448000;-1.526510E-002;2.120972E-003;-9.230384E-003
463000;-1.526886E-002;2.092898E-003;-9.230384E-003
478000;-1.530967E-002;2.047241E-003;-9.230384E-003
493000;-1.535140E-002;1.982689E-003;-9.230384E-003
508000;-1.540167E-002;1.985908E-003;-9.230384E-003
524000;-1.543554E-002;1.959115E-003;-9.230384E-003
540000;-1.546117E-002;1.964629E-003;-9.230384E-003
556000;-1.546925E-002;1.933873E-003;-9.230384E-003
572000;-1.551219E-002;1.929551E-003;-9.230384E-003
587000;-1.555459E-002;1.886457E-003;-9.230384E-003
603000;-1.559647E-002;1.908988E-003;-9.230384E-003
617000;-1.564722E-002;1.875162E-003;-9.230384E-003
633000;-1.568541E-002;1.859009E-003;-9.230384E-003
649000;-1.572305E-002;1.841396E-003;-9.230384E-003
664000;-1.576756E-002;1.822382E-003;-9.230384E-003
679000;-1.578554E-002;1.831263E-003;-9.230384E-003
694000;-1.583348E-002;1.795083E-003;-9.230384E-003
709000;-1.587882E-002;1.757443E-003;-9.230384E-003
724000;-1.593830E-002;1.727015E-003;-9.230384E-003
740000;-1.597486E-002;1.744151E-003;-9.230384E-003
756000;-1.601781E-002;1.715541E-003;-9.230384E-003
771000;-1.606414E-002;1.677752E-003;-9.230384E-003
787000;-1.606441E-002;1.686513E-003;-9.230384E-003
802000;-1.612127E-002;1.626790E-003;-9.230384E-003
817000;-1.614679E-002;1.573116E-003;-9.230384E-003
834000;-1.617655E-002;1.533300E-003;-9.230384E-003
849000;-1.621627E-002;1.481831E-003;-9.230384E-003
864000;-1.623152E-002;1.429945E-003;-9.230384E-003
879000;-1.626051E-002;1.411796E-003;-9.230384E-003
894000;-1.628227E-002;1.345038E-003;-9.230384E-003
909000;-1.633723E-002;1.320958E-003;-9.230384E-003
924000;-1.637789E-002;1.266390E-003;-9.230384E-003
940000;-1.641351E-002;1.271904E-003;-9.230384E-003
955000;-1.644783E-002;1.251668E-003;-9.230384E-003
970000;-1.647745E-002;1.289248E-003;-9.230384E-003
986000;-1.651409E-002;1.255602E-003;-9.230384E-003
1002000;-1.654322E-002;1.242518E-003;-9.230384E-003
1018000;-1.657574E-002;1.183063E-003;-9.230384E-003
1034000;-1.663593E-002;1.160383E-003;-9.230384E-003
1049000;-1.666417E-002;1.107812E-003;-9.230384E-003
1065000;-1.670119E-002;1.076192E-003;-9.230384E-003
1080000;-1.674877E-002;1.042575E-003;-9.230384E-003
1095000;-1.678485E-002;1.032650E-003;-9.230384E-003
1111000;-1.683717E-002;1.032025E-003;-9.230384E-003
1126000;-1.685735E-002;1.011193E-003;-9.230384E-003
1141000;-1.687388E-002;9.623170E-004;-9.230384E-003
1156000;-1.690854E-002;9.121299E-004;-9.230384E-003
1171000;-1.693728E-002;8.357763E-004;-9.230384E-003
1186000;-1.699853E-002;7.845163E-004;-9.230384E-003
1201000;-1.704775E-002;7.347763E-004;-9.230384E-003
1216000;-1.708615E-002;7.166862E-004;-9.230384E-003
1232000;-1.713161E-002;6.354153E-004;-9.230384E-003
1247000;-1.716425E-002;5.948544E-004;-9.230384E-003
1262000;-1.719158E-002;5.666912E-004;-9.230384E-003
1278000;-1.725484E-002;5.123019E-004;-9.230384E-003
1293000;-1.730212E-002;4.721284E-004;-9.230384E-003
1309000;-1.734383E-002;3.960133E-004;-9.230384E-003
1324000;-1.740201E-002;3.671050E-004;-9.230384E-003
1340000;-1.740398E-002;3.250539E-004;-9.230384E-003
1356000;-1.743794E-002;3.019869E-004;-9.230384E-003
1371000;-1.747614E-002;2.549291E-004;-9.230384E-003
1386000;-1.752377E-002;2.154112E-004;-9.230384E-003
1402000;-1.755638E-002;1.978874E-004;-9.230384E-003
1417000;-1.759152E-002;1.850724E-004;-9.230384E-003
1432000;-1.761517E-002;1.665950E-004;-9.230384E-003
1448000;-1.764432E-002;1.362860E-004;-9.230384E-003
1464000;-1.770572E-002;8.177757E-005;-9.230384E-003
1480000;-1.776762E-002;4.789233E-005;-9.230384E-003
1496000;-1.779843E-002;1.755357E-005;-9.230384E-003
1512000;-1.783454E-002;-5.379319E-005;-9.230384E-003
1528000;-1.785609E-002;-8.788705E-005;-9.230384E-003
1544000;-1.786256E-002;-1.348257E-004;-9.230384E-003
1560000;-1.791007E-002;-2.209842E-004;-9.230384E-003
1576000;-1.793238E-002;-3.004074E-004;-9.230384E-003
1592000;-1.795093E-002;-3.719926E-004;-9.230384E-003
1607000;-1.797065E-002;-4.397035E-004;-9.230384E-003
1622000;-1.797017E-002;-5.413294E-004;-9.230384E-003
1637000;-1.799172E-002;-6.373227E-004;-9.230384E-003
1652000;-1.799134E-002;-7.144809E-004;-9.230384E-003
